convention,scale,attack,budget_mult,policy,review_budget,score_auroc,recovered,precision,recall,precision_lift,n_pools_beat_top,delete_minus_no_action,correct_minus_no_action
cat,n3000,directional,2.0,top,554.0,0.15345248577294823,0.0,0.0,0.0,-0.14979441270274263,0,0.10214927533509485,0.0
cat,n3000,directional,2.0,two_tailed,554.0,0.15345248577294823,121.2,0.21856259651210558,0.43712519302421116,0.068768183809363,5,0.02911128970863704,-0.06709234607927206
cat,n3000,margin_targeted,0.5,bottom_oracle_diagnostic,138.8,0.6428500500154051,0.0,0.0,0.0,-0.14979441270274263,0,0.008777886470999955,0.0
cat,n3000,margin_targeted,0.5,random,138.8,0.6428500500154051,20.9,0.15061076604554863,0.07547113592345003,0.0008163533428059953,5,0.0007743419710726802,6.545764142088893e-05
cat,n3000,margin_targeted,0.5,top,138.8,0.6428500500154051,0.0,0.0,0.0,-0.14979441270274263,0,0.0019171926596144799,0.0
cat,n3000,margin_targeted,0.5,two_tailed,138.8,0.6428500500154051,0.0,0.0,0.0,-0.14979441270274263,0,-0.0012127534036732602,0.0
cat,n3000,margin_targeted,1.0,bottom_oracle_diagnostic,277.0,0.6428500500154051,0.2,0.0007246376811594201,0.0007246376811594201,-0.1490697750215832,0,0.0279711697638019,9.95416651050629e-06
cat,n3000,margin_targeted,1.0,random,277.0,0.6428500500154051,41.58,0.15011709541821738,0.15011709541821738,0.00032268271547478583,5,0.0008642797174917899,-0.00012885800800970984
cat,n3000,margin_targeted,1.0,top,277.0,0.6428500500154051,0.2,0.0007246376811594201,0.0007246376811594201,-0.1490697750215832,0,0.012578405108277704,-2.8887601821320002e-05
cat,n3000,margin_targeted,1.0,two_tailed,277.0,0.6428500500154051,0.0,0.0,0.0,-0.14979441270274263,0,0.0020423593427221797,0.0
cat,n3000,margin_targeted,2.0,bottom_oracle_diagnostic,554.0,0.6428500500154051,3.8,0.006862074967264281,0.01372414993452858,-0.1429323377354783,0,0.10475229488147571,-1.4287829355220005e-05
cat,n3000,margin_targeted,2.0,random,554.0,0.6428500500154051,82.97999999999999,0.14977347892873835,0.29954695785747676,-2.0933774004255803e-05,4,0.0022035015280851148,-0.00011902920311562207
cat,n3000,margin_targeted,2.0,top,554.0,0.6428500500154051,70.2,0.1266371509120457,0.2532743018240914,-0.023157261790696923,0,0.03009183246899968,0.00013322585202514033
cat,n3000,margin_targeted,2.0,two_tailed,554.0,0.6428500500154051,0.4,0.0007246376811594201,0.0014492753623188402,-0.1490697750215832,0,0.010701576755243119,-1.87255853085766e-05
resp,n1000,directional,0.5,bottom_oracle_diagnostic,52.0,0.10084177245101608,33.2,0.6384615384615385,0.31776556776556775,0.48914852068337805,5,-0.017302744404321578,-0.0407887348887336
resp,n1000,directional,0.5,random,52.0,0.10084177245101608,7.56,0.14538461538461533,0.07240476190476186,-0.003928402393544971,5,0.0004921304911193735,-0.008562394738547365
resp,n1000,directional,0.5,top,52.0,0.10084177245101608,0.0,0.0,0.0,-0.14931301777816036,0,0.021164016754364582,0.0
resp,n1000,directional,0.5,two_tailed,52.0,0.10084177245101608,18.0,0.3461538461538461,0.17228937728937724,0.19684082837568576,5,0.004368134460263481,-0.026593692173703498
resp,n1000,directional,1.0,bottom_oracle_diagnostic,104.4,0.10084177245101608,60.8,0.581978021978022,0.581978021978022,0.4326650041998616,5,-0.03591717874480744,-0.05884625732358156
