attack,detector,metric,n_seeds,mean,sd,median,min,max,p2_5,p97_5,block,alpha,stage,interval_type
gradient_flip,training_dynamics,auroc,20,0.22361693314358141,0.04909819197371613,0.21160684841899263,0.16250636780438105,0.2969230769230769,0.16288318316464012,0.2932692307692307,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
gradient_flip,training_dynamics,precision_at_budget,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
random_flip,cross_fit,auroc,20,0.5982779761204889,0.04770888132725527,0.6024508971528839,0.5035612535612536,0.6681190994916485,0.5150069837569837,0.6661157197921903,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
random_flip,cross_fit,precision_at_budget,20,0.22051282051282053,0.06308500780484776,0.2222222222222222,0.11538461538461539,0.3333333333333333,0.11538461538461539,0.3211538461538461,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
random_flip,ensemble,auroc,20,0.602743677805212,0.04482508632066943,0.6160213958227203,0.5037986704653371,0.6762285160977971,0.5178733303733304,0.6633878693927713,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
random_flip,ensemble,precision_at_budget,20,0.23774928774928772,0.06756513548057845,0.23076923076923078,0.1111111111111111,0.37037037037037035,0.1287037037037037,0.3588675213675213,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
random_flip,self_influence,auroc,20,0.6047195030968697,0.045534574305624416,0.6106067119463648,0.5275403608736942,0.6780440571290245,0.5295380545380545,0.6725994672316579,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
random_flip,self_influence,precision_at_budget,20,0.24537037037037038,0.0785169382320531,0.25,0.14814814814814814,0.38461538461538464,0.14814814814814814,0.37784900284900286,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
random_flip,training_dynamics,auroc,20,0.5794184172419669,0.04979789248413808,0.5792830644581499,0.48836657169990505,0.6538461538461539,0.4987792814181703,0.6457483227644518,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
random_flip,training_dynamics,precision_at_budget,20,0.18725071225071227,0.06210371364829188,0.18518518518518517,0.07407407407407407,0.2692307692307692,0.07407407407407407,0.2692307692307692,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
